,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
10,1.5476943979940818e-05,7.635423667120545e-06,1.5741789384727896e-05,7.739290499447707e-06,1.574555677124485e-05,4.822204771051438e-07,6.166965216512889e-05,7.685474460805151e-06,1.2068444797300962e-07,3.888368752378437e-06,3.128826483503172e-05,9.631743753328777e-07,1.2050779190440505e-07,1.953036203716141e-06,1.9207946179727557e-06,6.078709602644363e-08,9.72241280076527e-07,3.998962159418832e-06,1.5334616405587664e-05,1.5363513043888075e-05,3.092926192855889e-05,0.0001269414496674584,6.170822876808336e-05,7.789538111220245e-06,6.13632853909807e-05,3.8344245713278995e-06,6.084618407635753e-05,7.718241442053905e-06,3.914286810089797e-06,1.5419410699845425e-05,3.067563990232996e-05,1.5489266799286165e-05,1.5417392658345137e-05
11,1.653928867699888e-05,4.029997042779409e-05,1.3673097186511647e-05,1.134561631699265e-05,1.6649443835896952e-05,3.9603623566200796e-07,0.0001455316081262593,1.294140605568436e-05,9.88378626120285e-08,1.5940612094031209e-06,6.385938110939563e-06,1.9474528508011684e-07,4.9311636468962056e-08,7.972340011001449e-07,7.900393712757288e-07,4.898208069552772e-08,1.9603766462024405e-07,8.051676908198414e-07,3.094118539399625e-06,3.1063779010645e-06,6.357751299224437e-06,2.568326740455621e-05,1.2553395722125353e-05,1.5857542247391695e-06,1.25570142826602e-05,6.316121690099092e-06,2.51161204154351e-05,1.5862406834793614e-06,8.173829077686225e-07,3.1531212894848365e-06,1.2529337270007409e-05,3.1569587877504717e-06,3.163748391314937e-06
12,1.554393678020108e-05,3.05494482976222e-05,1.5654622056608778e-05,7.712009265949065e-06,1.576659576317439e-05,9.656121714031753e-07,0.00012444836460975725,7.698704985699375e-06,2.422499600463224e-07,3.859355422029889e-06,3.125337192487716e-05,9.623024999879724e-07,2.4252394761131766e-07,1.9593077401037824e-06,1.9412769112936e-06,1.211493231570307e-07,4.874940709002284e-07,3.915834433239076e-06,7.59087547580904e-06,1.5344188477873548e-05,3.126076894574302e-05,0.00012599876489643647,6.210164610372003e-05,7.80407231398584e-06,6.194658337562962e-05,6.236138672713108e-05,6.185893276599147e-05,3.8717843098142075e-06,4.005634527383222e-06,3.111287267910643e-05,6.211716549631773e-05,3.111571102000351e-05,1.5446261489780334e-05
13,3.7566734714351e-06,7.482666514670832e-06,7.64384719823505e-06,1.8935486090715559e-06,7.753843708935956e-06,1.8919671146832775e-06,3.0287486511798495e-05,1.8775496949018e-06,9.390789733532223e-07,1.906555737243923e-06,1.5342687376772448e-05,9.409493380379968e-07,4.6753312567747846e-07,1.9030150563137088e-06,1.8963143917670129e-06,1.8920021334769755e-06,1.8916494738047082e-06,3.8048830235172857e-06,3.6929913680993808e-06,7.5572802842075575e-06,1.5107368559399635e-05,3.0778416969846186e-05,1.5019364975225985e-05,3.7933709478766174e-06,3.061960296681369e-05,3.0360812456360998e-05,6.103455105585968e-05,3.81382235177327e-06,7.778722071462197e-06,1.5286603016966678e-05,6.085374619923935e-05,1.5519829530411594e-05,1.5267819257509876e-05
14,1.558068284640659e-05,3.0345924457114736e-05,3.122161356877291e-05,3.1335746918588215e-05,6.359755995209032e-05,1.9571511675215725e-06,0.0002480180491121859,1.5365645919459825e-05,2.414355986032934e-07,7.810285954960953e-06,6.290009603255619e-05,1.946318941201099e-06,4.874115815078134e-07,1.9558035455735968e-06,7.775442154079769e-06,2.447580959070489e-07,9.691984293027974e-07,7.833947086692697e-06,3.0641106116118205e-05,3.089701594612492e-05,0.0001245372424580702,0.00025418785418165614,0.00012384682119593503,7.864788798670144e-06,0.00012438043232390234,0.0001238684360463463,0.00012386303198010508,7.779164297793894e-06,1.579329943401693e-05,6.185361716146361e-05,0.00012430793539712354,6.244900622170907e-05,1.5318264425932842e-05
15,7.796714208880459e-06,3.100592471546731e-05,1.570079158953578e-05,7.774367999143364e-06,8.007631705604033e-06,4.881502938891964e-07,6.294580825234953e-05,3.882869516203442e-06,6.060281769695426e-08,1.9705157340075455e-06,3.1543803210713875e-05,4.864784270290667e-07,1.2161783807970783e-07,9.648943451687086e-07,9.785852869239753e-07,1.2317905357592563e-07,4.898298491766801e-07,1.9909253724077396e-06,1.5649438427165577e-05,1.5580116389560695e-05,1.602877770889393e-05,6.378672788354324e-05,6.264626916837167e-05,3.919068817416417e-06,6.220341387630432e-05,1.5611560112603664e-05,0.00012416216545010894,3.913725365659706e-06,3.91218374825028e-06,1.5610610718620686e-05,3.1259260472587957e-05,1.568460900858233e-05,1.5601243709129546e-05
16,1.5513572694413087e-05,3.0567668992623485e-05,1.5614707973073934e-05,7.74070263177943e-06,3.167366254021717e-05,9.744610809325968e-07,6.104972306585515e-05,7.701972898135157e-06,2.4406433722838474e-07,3.880424203206737e-06,3.1278421423211385e-05,1.962291500858804e-06,2.4170610867676787e-07,1.9412871773624423e-06,1.932693002578091e-06,2.42678863503359e-07,9.73358912202546e-07,3.972919365182202e-06,1.5265316500763837e-05,1.5259041230058946e-05,3.2799546141973255e-05,0.00012490907626358953,6.153510860728469e-05,7.779071736713932e-06,6.133773578114874e-05,6.141474132067453e-05,6.124317323544648e-05,7.746579048917315e-06,3.909678622769511e-06,6.127402980114569e-05,6.163721104361103e-05,1.544564886921976e-05,1.535116849794209e-05
17,1.5492799647887443e-05,1.5162203978496301e-05,1.556154801645349e-05,7.708884873521675e-06,3.167921145105287e-05,9.673914883093488e-07,0.0001234085442579491,7.682279565788292e-06,2.430376663534767e-07,3.911237351277682e-06,6.243418807134676e-05,9.69823289449368e-07,2.4049660041256446e-07,1.940103087802622e-06,9.59462618529757e-07,2.419425338220838e-07,4.804822021972418e-07,3.97690011987701e-06,7.629919053468316e-06,1.5116948672662639e-05,3.2520675866807873e-05,0.00012442393432328478,6.125900451859243e-05,7.741618608965357e-06,6.151351293036755e-05,6.149050215429758e-05,6.118761394363367e-05,3.842531480504934e-06,7.716246801974162e-06,0.00012309356800622374,6.139675930742846e-05,1.5415548114108467e-05,1.5239112679565164e-05
18,1.5531365129583514e-05,3.061179106094799e-05,1.558037386739212e-05,7.670187578519104e-06,1.5690799986762754e-05,9.628204387511568e-07,0.00012435132983992363,7.641886938691088e-06,1.2018798354059764e-07,1.948038582242884e-06,3.128731344574755e-05,4.798921160421504e-07,1.2078852182763554e-07,9.66892182358831e-07,1.936772785779914e-06,1.207185972931971e-07,6.146331500457264e-05,3.907792436036067e-06,7.677735859746902e-06,1.528549150682219e-05,3.2184125484161604e-05,0.0001260719145692369,6.163264783342411e-05,7.78731398724184e-06,6.153917643802113e-05,6.193053346178161e-05,6.158703430806765e-05,7.74637422071456e-06,3.957962235094379e-06,0.00012383961708399888,0.00012419935132932733,4.816954377385574e-07,1.5328211321626318e-05
19,4.804062978852831e-07,2.3282029776179007e-07,9.77649698000348e-07,2.4108888221562125e-07,9.882655538941735e-07,6.058299090214017e-08,3.854592767430691e-06,4.792644188724165e-07,7.54842432237552e-09,1.2123760803633641e-07,1.9474514681692475e-06,2.9905593240694195e-08,7.525307189586238e-09,6.085480103213843e-08,6.069771555970163e-08,1.4958965724993447e-08,2.99812843507872e-08,1.2242565351929205e-07,2.3593656893654162e-07,9.621778290866705e-07,1.924314952375269e-06,7.820215327000645e-06,3.845247758046906e-06,2.404004385151681e-07,1.9324477226044084e-06,1.9447602208163387e-06,1.9242360873417713e-06,2.405536799533838e-07,1.2188705303769394e-07,3.838852704108954e-06,1.934277852386896e-06,4.789217515486711e-07,3.0931102067146434e-05
20,6.294265525068089e-08,6.237454745924354e-08,3.153046563117607e-08,3.1147427994062886e-08,1.271836200488158e-07,7.889393227184646e-09,5.050907508848758e-07,3.117193924782514e-08,2.458453689440127e-10,1.2585003236786738e-07,5.134786788927277e-07,4.888633748837665e-10,3.91444004944096e-09,1.953654991094127e-09,7.879573947200631e-09,2.431845867437916e-10,9.763833420271954e-10,3.184815725521828e-08,3.079317563043824e-08,3.117276349051085e-08,1.288639779302501e-07,3.174457785985359e-08,9.971724176936575e-07,1.2572131781535056e-07,9.937545723675431e-07,5.055035995310113e-07,2.484806887746282e-07,1.5655897244958376e-08,1.2565285678821779e-07,9.97432163523426e-07,5.02230819045835e-07,2.499300133112344e-07,1.2558874994301035e-07
